,locale,partition,utt,tokens
0,is-IS,train,vekja mig klukkan níu að morgni á föstudag,"['vekja', 'mig', 'klukkan', 'níu', 'að', 'morgni', 'á', 'föstudag']"
1,is-IS,train,stilltu vekjara eftir tvo tíma,"['stilltu', 'vekjara', 'eftir', 'tvo', 'tíma']"
2,is-IS,train,olly þögn,"['olly', 'þögn']"
3,is-IS,train,hættu,['hættu']
4,is-IS,train,jenna hlé í tíu sekúndur,"['jenna', 'hlé', 'í', 'tíu', 'sekúndur']"
5,is-IS,train,pása í tíu sekúndur,"['pása', 'í', 'tíu', 'sekúndur']"
6,is-IS,train,gera ljósin aðeins hlýrri hérna,"['gera', 'ljósin', 'aðeins', 'hlýrri', 'hérna']"
7,is-IS,train,vinsamlegast stilltu ljósin sem hentug til lestrar,"['vinsamlegast', 'stilltu', 'ljósin', 'sem', 'hentug', 'til', 'lestrar']"
8,is-IS,train,tími til að sofa,"['tími', 'til', 'að', 'sofa']"
9,is-IS,train,tími til að sofna ollý,"['tími', 'til', 'að', 'sofna', 'ollý']"
10,is-IS,train,slökkva á ljósum í baðherberginu,"['slökkva', 'á', 'ljósum', 'í', 'baðherberginu']"
11,is-IS,train,olly deyfðu ljósin í ganginum,"['olly', 'deyfðu', 'ljósin', 'í', 'ganginum']"
12,is-IS,train,slökkva á ljósum í svefnherberginu,"['slökkva', 'á', 'ljósum', 'í', 'svefnherberginu']"
13,is-IS,train,stilla ljós í tuttugu prósent,"['stilla', 'ljós', 'í', 'tuttugu', 'prósent']"
14,is-IS,train,jóna settu ljósin til tuttugu prósent,"['jóna', 'settu', 'ljósin', 'til', 'tuttugu', 'prósent']"
15,is-IS,train,deyfðu ljósin í eldhúsinu olly,"['deyfðu', 'ljósin', 'í', 'eldhúsinu', 'olly']"
16,is-IS,train,deyfa ljósin í eldhúsinu,"['deyfa', 'ljósin', 'í', 'eldhúsinu']"
17,is-IS,train,olly þrífðu íbúðina,"['olly', 'þrífðu', 'íbúðina']"
18,is-IS,train,ryksugaðu húsið,"['ryksugaðu', 'húsið']"
19,is-IS,train,ryksugaðu húsið olly,"['ryksugaðu', 'húsið', 'olly']"
20,is-IS,train,teppin,['teppin']
21,is-IS,train,athugaðu hvenær sýningin byrjar,"['athugaðu', 'hvenær', 'sýningin', 'byrjar']"
22,is-IS,train,mig langar að hlusta á ragga bjarna lagið aftur,"['mig', 'langar', 'að', 'hlusta', 'á', 'ragga', 'bjarna', 'lagið', 'aftur']"
23,is-IS,train,ég vil spila þessa tónlist aftur,"['ég', 'vil', 'spila', 'þessa', 'tónlist', 'aftur']"
24,is-IS,train,athugaðu hvort bíllinn minn sé tilbúinn,"['athugaðu', 'hvort', 'bíllinn', 'minn', 'sé', 'tilbúinn']"
25,is-IS,train,athugaðu hvort fartölvan mín virkar,"['athugaðu', 'hvort', 'fartölvan', 'mín', 'virkar']"
26,is-IS,train,er birtustig á skjánum mínum að verða lítið,"['er', 'birtustig', 'á', 'skjánum', 'mínum', 'að', 'verða', 'lítið']"
27,is-IS,train,ég þarf að hafa staðsetningarbúnað á geturðu athugað,"['ég', 'þarf', 'að', 'hafa', 'staðsetningarbúnað', 'á', 'geturðu', 'athugað']"
28,is-IS,train,athugaðu stöðu orku notkunar minnar,"['athugaðu', 'stöðu', 'orku', 'notkunar', 'minnar']"
29,is-IS,train,ég er ekki þreyttur ég er glaður,"['ég', 'er', 'ekki', 'þreyttur', 'ég', 'er', 'glaður']"
30,is-IS,train,olly ég er ekki þreyttur ég er raunar glaður,"['olly', 'ég', 'er', 'ekki', 'þreyttur', 'ég', 'er', 'raunar', 'glaður']"
31,is-IS,train,hvernig gengur,"['hvernig', 'gengur']"
32,is-IS,train,hvað er klukkan í moskvu,"['hvað', 'er', 'klukkan', 'í', 'moskvu']"
33,is-IS,train,segðu mér hvað klukkan er í g. m. t. plús fimm,"['segðu', 'mér', 'hvað', 'klukkan', 'er', 'í', 'g.', 'm.', 't.', 'plús', 'fimm']"
34,is-IS,train,jenan listaðu mest metnu heimsendingar valmöguleika fyrir kínverskan mat,"['jenan', 'listaðu', 'mest', 'metnu', 'heimsendingar', 'valmöguleika', 'fyrir', 'kínverskan', 'mat']"
35,is-IS,train,mest metni sendingar kosturinn fyrir kínverskan mat,"['mest', 'metni', 'sendingar', 'kosturinn', 'fyrir', 'kínverskan', 'mat']"
36,is-IS,train,olly mest metnu heimsendingu valmöguleikar fyrir kínverskan mat,"['olly', 'mest', 'metnu', 'heimsendingu', 'valmöguleikar', 'fyrir', 'kínverskan', 'mat']"
37,is-IS,train,ég vil smá karrý til að taka með heim einhver meðmæli,"['ég', 'vil', 'smá', 'karrý', 'til', 'að', 'taka', 'með', 'heim', 'einhver', 'meðmæli']"
38,is-IS,train,mér langar í karrý rétti til að taka með einhver meðmæli olly,"['mér', 'langar', 'í', 'karrý', 'rétti', 'til', 'að', 'taka', 'með', 'einhver', 'meðmæli', 'olly']"
39,is-IS,train,finna mína kínverska taka með staði í kringum hlemm,"['finna', 'mína', 'kínverska', 'taka', 'með', 'staði', 'í', 'kringum', 'hlemm']"
40,is-IS,train,stöðva vekjarann klukkan sjö um morguninn,"['stöðva', 'vekjarann', 'klukkan', 'sjö', 'um', 'morguninn']"
41,is-IS,train,segðu mér hvaða vekjarar eru stilltir,"['segðu', 'mér', 'hvaða', 'vekjarar', 'eru', 'stilltir']"
42,is-IS,train,hvað er að gerast í fótbolta í dag,"['hvað', 'er', 'að', 'gerast', 'í', 'fótbolta', 'í', 'dag']"
43,is-IS,train,vinsamlegast spilaðu yesterday með bítlunum,"['vinsamlegast', 'spilaðu', 'yesterday', 'með', 'bítlunum']"
44,is-IS,train,ég er hrifinn af rokk tónlist,"['ég', 'er', 'hrifinn', 'af', 'rokk', 'tónlist']"
45,is-IS,train,uppáhalds tónlistar hljómsveitin mín er stuðmenn,"['uppáhalds', 'tónlistar', 'hljómsveitin', 'mín', 'er', 'stuðmenn']"
46,is-IS,train,byrja að spila tónlist úr uppáhalds,"['byrja', 'að', 'spila', 'tónlist', 'úr', 'uppáhalds']"
47,is-IS,train,vinsamlegast spilaðu bestu tónlistina mína,"['vinsamlegast', 'spilaðu', 'bestu', 'tónlistina', 'mína']"
48,is-IS,train,hver samdi tónlistina sem er í spilun,"['hver', 'samdi', 'tónlistina', 'sem', 'er', 'í', 'spilun']"
49,is-IS,train,hvað er það albúmið sem þessi tónlist kemur frá,"['hvað', 'er', 'það', 'albúmið', 'sem', 'þessi', 'tónlist', 'kemur', 'frá']"
50,is-IS,train,olly ég er að njóta þessa lags,"['olly', 'ég', 'er', 'að', 'njóta', 'þessa', 'lags']"
51,is-IS,train,lagið sem þú ert að spila er æðislegt,"['lagið', 'sem', 'þú', 'ert', 'að', 'spila', 'er', 'æðislegt']"
52,is-IS,train,þetta er eitt af bestu lögunum fyrir mig,"['þetta', 'er', 'eitt', 'af', 'bestu', 'lögunum', 'fyrir', 'mig']"
53,is-IS,train,gera ljós bjartari,"['gera', 'ljós', 'bjartari']"
54,is-IS,train,viltu hækka ljósin í topp,"['viltu', 'hækka', 'ljósin', 'í', 'topp']"
55,is-IS,train,hey kveiktu á ryksugu róbot,"['hey', 'kveiktu', 'á', 'ryksugu', 'róbot']"
56,is-IS,train,kveikja á þrif róbot,"['kveikja', 'á', 'þrif', 'róbot']"
57,is-IS,train,vinsamlegast pantaðu sushi í kvöldmat,"['vinsamlegast', 'pantaðu', 'sushi', 'í', 'kvöldmat']"
58,is-IS,train,hey ég myndi vilja að þú pantar borgara,"['hey', 'ég', 'myndi', 'vilja', 'að', 'þú', 'pantar', 'borgara']"
59,is-IS,train,get ég pantað kvöldmat til að taka með frá skál,"['get', 'ég', 'pantað', 'kvöldmat', 'til', 'að', 'taka', 'með', 'frá', 'skál']"
60,is-IS,train,bíður eldofninn uppá takeaways,"['bíður', 'eldofninn', 'uppá', 'takeaways']"
61,is-IS,train,settu á vekjara klukkan tólf,"['settu', 'á', 'vekjara', 'klukkan', 'tólf']"
62,is-IS,train,stilltu vekjara eftir fjörutíu mínútur,"['stilltu', 'vekjara', 'eftir', 'fjörutíu', 'mínútur']"
63,is-IS,train,stilla vekjara fyrir átta alla virka daga,"['stilla', 'vekjara', 'fyrir', 'átta', 'alla', 'virka', 'daga']"
64,is-IS,train,rignir,['rignir']
65,is-IS,train,mun rigna,"['mun', 'rigna']"
66,is-IS,train,er að snjóa núna,"['er', 'að', 'snjóa', 'núna']"
67,is-IS,train,hvaða veður er þessa vikuna,"['hvaða', 'veður', 'er', 'þessa', 'vikuna']"
68,is-IS,train,segðu mér rúv fréttir,"['segðu', 'mér', 'rúv', 'fréttir']"
69,is-IS,train,hvað er að frétta frá rúv fréttum,"['hvað', 'er', 'að', 'frétta', 'frá', 'rúv', 'fréttum']"
70,is-IS,train,hvað eru nýjustu fréttir á rúv,"['hvað', 'eru', 'nýjustu', 'fréttir', 'á', 'rúv']"
71,is-IS,train,spilaðu lag sem mér finnst skemmtilegt,"['spilaðu', 'lag', 'sem', 'mér', 'finnst', 'skemmtilegt']"
72,is-IS,train,spilaðu emmsjé gauta,"['spilaðu', 'emmsjé', 'gauta']"
73,is-IS,train,settu á eitthvað með skítamóral,"['settu', 'á', 'eitthvað', 'með', 'skítamóral']"
74,is-IS,train,stokka þennan lagalista,"['stokka', 'þennan', 'lagalista']"
75,is-IS,train,hvað er í spilun,"['hvað', 'er', 'í', 'spilun']"
76,is-IS,train,hvaða tónlist er þetta,"['hvaða', 'tónlist', 'er', 'þetta']"
77,is-IS,train,segðu mér frá tónlistamanninum í þessu lagi,"['segðu', 'mér', 'frá', 'tónlistamanninum', 'í', 'þessu', 'lagi']"
78,is-IS,train,láttu mig hlæja,"['láttu', 'mig', 'hlæja']"
79,is-IS,train,olly láttu mig hlægja,"['olly', 'láttu', 'mig', 'hlægja']"
80,is-IS,train,segðu mér góðan brandara,"['segðu', 'mér', 'góðan', 'brandara']"
81,is-IS,train,segðu mér brandara,"['segðu', 'mér', 'brandara']"
82,is-IS,train,alexa segðu mér brandara,"['alexa', 'segðu', 'mér', 'brandara']"
83,is-IS,train,hresstu mig við,"['hresstu', 'mig', 'við']"
84,is-IS,train,segðu mér frá deginum í dag,"['segðu', 'mér', 'frá', 'deginum', 'í', 'dag']"
85,is-IS,train,pantaðu pizzu,"['pantaðu', 'pizzu']"
86,is-IS,train,pantaðu hlölla frá hlöllabátum,"['pantaðu', 'hlölla', 'frá', 'hlöllabátum']"
87,is-IS,train,hvenær kemur pöntunin mín,"['hvenær', 'kemur', 'pöntunin', 'mín']"
88,is-IS,train,hversu langt í taka með matinn,"['hversu', 'langt', 'í', 'taka', 'með', 'matinn']"
89,is-IS,train,spaðinn heimsendingar staða,"['spaðinn', 'heimsendingar', 'staða']"
90,is-IS,train,hvað er í spilun,"['hvað', 'er', 'í', 'spilun']"
91,is-IS,train,segðu mér nafnið á þessu lagi,"['segðu', 'mér', 'nafnið', 'á', 'þessu', 'lagi']"
92,is-IS,train,spila djass lagalistann minn,"['spila', 'djass', 'lagalistann', 'minn']"
93,is-IS,train,settu af stað djasslagalistann minn,"['settu', 'af', 'stað', 'djasslagalistann', 'minn']"
94,is-IS,train,spila uppáhalds lagalistann minn,"['spila', 'uppáhalds', 'lagalistann', 'minn']"
95,is-IS,train,þetta er gott lag,"['þetta', 'er', 'gott', 'lag']"
96,is-IS,train,mér líkar það ekki,"['mér', 'líkar', 'það', 'ekki']"
97,is-IS,train,mér líkar við það,"['mér', 'líkar', 'við', 'það']"
98,is-IS,train,ég fýla djass,"['ég', 'fýla', 'djass']"
99,is-IS,train,geturðu spilað eitthvað djass,"['geturðu', 'spilað', 'eitthvað', 'djass']"
100,is-IS,train,þetta lag var mjög gott,"['þetta', 'lag', 'var', 'mjög', 'gott']"
101,is-IS,train,breyta hljóðstyrknum,"['breyta', 'hljóðstyrknum']"
102,is-IS,train,virkja stokkun,"['virkja', 'stokkun']"
103,is-IS,train,vista stillingum,"['vista', 'stillingum']"
104,is-IS,train,settu birtustig í fimmtíu prósent,"['settu', 'birtustig', 'í', 'fimmtíu', 'prósent']"
105,is-IS,train,setja niður birtu,"['setja', 'niður', 'birtu']"
106,is-IS,train,minnka birtustig,"['minnka', 'birtustig']"
107,is-IS,train,minnka birtustig,"['minnka', 'birtustig']"
108,is-IS,train,deyfa ljósin,"['deyfa', 'ljósin']"
109,is-IS,train,olly deyfðu ljósin,"['olly', 'deyfðu', 'ljósin']"
110,is-IS,train,búðu til kaffi fyrir mgi,"['búðu', 'til', 'kaffi', 'fyrir', 'mgi']"
111,is-IS,train,olly búðu til kaffi fyrir mig,"['olly', 'búðu', 'til', 'kaffi', 'fyrir', 'mig']"
112,is-IS,train,ég þarf kaffi,"['ég', 'þarf', 'kaffi']"
113,is-IS,train,mig langar í kaffi núna,"['mig', 'langar', 'í', 'kaffi', 'núna']"
114,is-IS,train,hvernig hefurðu það,"['hvernig', 'hefurðu', 'það']"
115,is-IS,train,stilla á vekjara klukkan tíu um morguninn,"['stilla', 'á', 'vekjara', 'klukkan', 'tíu', 'um', 'morguninn']"
116,is-IS,train,segðu mér frá nýjustu tækni fréttum,"['segðu', 'mér', 'frá', 'nýjustu', 'tækni', 'fréttum']"
117,is-IS,train,segðu mér nýjustu tækni fréttir,"['segðu', 'mér', 'nýjustu', 'tækni', 'fréttir']"
118,is-IS,train,segðu mér frá veðrinu,"['segðu', 'mér', 'frá', 'veðrinu']"
119,is-IS,train,hvernig er veðrið núna,"['hvernig', 'er', 'veðrið', 'núna']"
120,is-IS,train,rignir núna,"['rignir', 'núna']"
121,is-IS,train,settu af stað michael jackson lagalistann minn,"['settu', 'af', 'stað', 'michael', 'jackson', 'lagalistann', 'minn']"
122,is-IS,train,spila pál óskar frá lagalistanum mínum,"['spila', 'pál', 'óskar', 'frá', 'lagalistanum', 'mínum']"
123,is-IS,train,spilaðu síðasta lagið frá uppáhalds lagalistanum mínum,"['spilaðu', 'síðasta', 'lagið', 'frá', 'uppáhalds', 'lagalistanum', 'mínum']"
124,is-IS,train,hækka hljóðið upp,"['hækka', 'hljóðið', 'upp']"
125,is-IS,train,kveikja á kló,"['kveikja', 'á', 'kló']"
126,is-IS,train,kveikja á klónni,"['kveikja', 'á', 'klónni']"
127,is-IS,train,kveikja á klónni minni,"['kveikja', 'á', 'klónni', 'minni']"
128,is-IS,train,segðu mér einhvern brandara,"['segðu', 'mér', 'einhvern', 'brandara']"
129,is-IS,train,kanntu einhvern brandara,"['kanntu', 'einhvern', 'brandara']"
130,is-IS,train,hvað er klukkan,"['hvað', 'er', 'klukkan']"
131,is-IS,train,segðu mér hvað klukkan er,"['segðu', 'mér', 'hvað', 'klukkan', 'er']"
132,is-IS,train,býður dominoes upp á mat til að taka með,"['býður', 'dominoes', 'upp', 'á', 'mat', 'til', 'að', 'taka', 'með']"
133,is-IS,train,er vinsælasti pítsu staðurinn minn með mat til að taka með,"['er', 'vinsælasti', 'pítsu', 'staðurinn', 'minn', 'með', 'mat', 'til', 'að', 'taka', 'með']"
134,is-IS,train,get ég pantað mat til að taka með á spænskum stað,"['get', 'ég', 'pantað', 'mat', 'til', 'að', 'taka', 'með', 'á', 'spænskum', 'stað']"
135,is-IS,train,fjarlægðu vekjaraklukkuna,"['fjarlægðu', 'vekjaraklukkuna']"
136,is-IS,train,sýndu mér vekjaraklukkurnar sem ég hef sett á,"['sýndu', 'mér', 'vekjaraklukkurnar', 'sem', 'ég', 'hef', 'sett', 'á']"
137,is-IS,train,er ég með einhverja vekjara í gangi,"['er', 'ég', 'með', 'einhverja', 'vekjara', 'í', 'gangi']"
138,is-IS,train,sýndu vekjarana,"['sýndu', 'vekjarana']"
