,locale,partition,utt,tokens
0,lv-LV,train,piektdien pamodini mani deviņos no rīta,"['piektdien', 'pamodini', 'mani', 'deviņos', 'no', 'rīta']"
1,lv-LV,train,uzliec modinātāju uz divām stundām no šī brīža,"['uzliec', 'modinātāju', 'uz', 'divām', 'stundām', 'no', 'šī', 'brīža']"
2,lv-LV,train,olly klusu,"['olly', 'klusu']"
3,lv-LV,train,apstādināt,['apstādināt']
4,lv-LV,train,olly uzliec pauzi uz desmit sekundēm,"['olly', 'uzliec', 'pauzi', 'uz', 'desmit', 'sekundēm']"
5,lv-LV,train,nopauzē uz desmit sekundēm,"['nopauzē', 'uz', 'desmit', 'sekundēm']"
6,lv-LV,train,padari apgaismojumu nedaudz siltāku šeit,"['padari', 'apgaismojumu', 'nedaudz', 'siltāku', 'šeit']"
7,lv-LV,train,lūdzu iestati apgaismojumu kas piemērots lasīšanai,"['lūdzu', 'iestati', 'apgaismojumu', 'kas', 'piemērots', 'lasīšanai']"
8,lv-LV,train,laiks gulēt,"['laiks', 'gulēt']"
9,lv-LV,train,laiks gulēt olly,"['laiks', 'gulēt', 'olly']"
10,lv-LV,train,izslēgt gaismu vannas istabā,"['izslēgt', 'gaismu', 'vannas', 'istabā']"
11,lv-LV,train,olly samazini gaismas gaitenī,"['olly', 'samazini', 'gaismas', 'gaitenī']"
12,lv-LV,train,izslēdz guļamistabā gaismas,"['izslēdz', 'guļamistabā', 'gaismas']"
13,lv-LV,train,iestatīt gaismas uz divdesmit procentiem,"['iestatīt', 'gaismas', 'uz', 'divdesmit', 'procentiem']"
14,lv-LV,train,olly iestati gaismas uz divdesmit procentiem,"['olly', 'iestati', 'gaismas', 'uz', 'divdesmit', 'procentiem']"
15,lv-LV,train,padari blāvākas gaismas virtuvē ollij,"['padari', 'blāvākas', 'gaismas', 'virtuvē', 'ollij']"
16,lv-LV,train,samazini gaismas virtuvē,"['samazini', 'gaismas', 'virtuvē']"
17,lv-LV,train,ollij iztīri dzīvokli,"['ollij', 'iztīri', 'dzīvokli']"
18,lv-LV,train,izsūkt māju,"['izsūkt', 'māju']"
19,lv-LV,train,izsūknē māju ollij,"['izsūknē', 'māju', 'ollij']"
20,lv-LV,train,iztīri paklājus,"['iztīri', 'paklājus']"
21,lv-LV,train,bārbaudi kad sākas šovs,"['bārbaudi', 'kad', 'sākas', 'šovs']"
22,lv-LV,train,es gribu klausīties prāta vētras dziesmu vēlreiz,"['es', 'gribu', 'klausīties', 'prāta', 'vētras', 'dziesmu', 'vēlreiz']"
23,lv-LV,train,es gribu atskaņot to mūziku vēlreiz,"['es', 'gribu', 'atskaņot', 'to', 'mūziku', 'vēlreiz']"
24,lv-LV,train,paskaties mana mašīna ir gatava,"['paskaties', 'mana', 'mašīna', 'ir', 'gatava']"
25,lv-LV,train,pārbaudi vai mans portatīvais strādā,"['pārbaudi', 'vai', 'mans', 'portatīvais', 'strādā']"
26,lv-LV,train,vai mana ekrāna spilgtums ir zems,"['vai', 'mana', 'ekrāna', 'spilgtums', 'ir', 'zems']"
27,lv-LV,train,man jābūt ieslēgtiem atrašanās vietas noteikšanas pakalpojumiem lai tu vari pārbaudīt,"['man', 'jābūt', 'ieslēgtiem', 'atrašanās', 'vietas', 'noteikšanas', 'pakalpojumiem', 'lai', 'tu', 'vari', 'pārbaudīt']"
28,lv-LV,train,pārbaudi manu enerģijas patēriņa statusu,"['pārbaudi', 'manu', 'enerģijas', 'patēriņa', 'statusu']"
29,lv-LV,train,es neesmu noguris patiesībā esmu priecīgs,"['es', 'neesmu', 'noguris', 'patiesībā', 'esmu', 'priecīgs']"
30,lv-LV,train,olly es neesmu noguris patiesībā esmu priecīgs,"['olly', 'es', 'neesmu', 'noguris', 'patiesībā', 'esmu', 'priecīgs']"
31,lv-LV,train,kā sviežas,"['kā', 'sviežas']"
32,lv-LV,train,cik pulkstenis maskavā,"['cik', 'pulkstenis', 'maskavā']"
33,lv-LV,train,nosaki laiku g. m. t. plus pieci,"['nosaki', 'laiku', 'g.', 'm.', 't.', 'plus', 'pieci']"
34,lv-LV,train,olly uzskaiti vislabāk novērtētās piegādes opcijas ķīniešu ēdieniem,"['olly', 'uzskaiti', 'vislabāk', 'novērtētās', 'piegādes', 'opcijas', 'ķīniešu', 'ēdieniem']"
