,locale,partition,utt,tokens
0,ru-RU,train,разбуди меня в девять утра в пятницу,"['разбуди', 'меня', 'в', 'девять', 'утра', 'в', 'пятницу']"
1,ru-RU,train,поставь будильник на два часа вперед,"['поставь', 'будильник', 'на', 'два', 'часа', 'вперед']"
2,ru-RU,train,олли тихо,"['олли', 'тихо']"
3,ru-RU,train,отстановись,['отстановись']
4,ru-RU,train,олли остановись на десять секунд,"['олли', 'остановись', 'на', 'десять', 'секунд']"
5,ru-RU,train,остановись на десять секунд,"['остановись', 'на', 'десять', 'секунд']"
6,ru-RU,train,сделай освещение здесь чуть более тёплым,"['сделай', 'освещение', 'здесь', 'чуть', 'более', 'тёплым']"
7,ru-RU,train,пожалуйста сделай свет подходящий для чтения,"['пожалуйста', 'сделай', 'свет', 'подходящий', 'для', 'чтения']"
8,ru-RU,train,время идти спать,"['время', 'идти', 'спать']"
9,ru-RU,train,олли время спать,"['олли', 'время', 'спать']"
10,ru-RU,train,выключи свет в ванной,"['выключи', 'свет', 'в', 'ванной']"
11,ru-RU,train,olly приглуши светильники в холле,"['olly', 'приглуши', 'светильники', 'в', 'холле']"
12,ru-RU,train,выключи свет в спальне,"['выключи', 'свет', 'в', 'спальне']"
13,ru-RU,train,установи светильники на двадцать процентов,"['установи', 'светильники', 'на', 'двадцать', 'процентов']"
14,ru-RU,train,olly установи уровень света на двадцать процентов,"['olly', 'установи', 'уровень', 'света', 'на', 'двадцать', 'процентов']"
15,ru-RU,train,olly приглуши свет на кухне,"['olly', 'приглуши', 'свет', 'на', 'кухне']"
16,ru-RU,train,приглуши свет на кухне,"['приглуши', 'свет', 'на', 'кухне']"
17,ru-RU,train,olly начни уборку в квартире,"['olly', 'начни', 'уборку', 'в', 'квартире']"
18,ru-RU,train,пропылесось весь дом,"['пропылесось', 'весь', 'дом']"
19,ru-RU,train,пропылесось дом olly,"['пропылесось', 'дом', 'olly']"
20,ru-RU,train,пропылесосить ковры вокруг,"['пропылесосить', 'ковры', 'вокруг']"
21,ru-RU,train,проверь во сколько начинается шоу,"['проверь', 'во', 'сколько', 'начинается', 'шоу']"
22,ru-RU,train,хочу услышать песню светланы лободы снова,"['хочу', 'услышать', 'песню', 'светланы', 'лободы', 'снова']"
23,ru-RU,train,я хочу воспроизвести ту музыку снова,"['я', 'хочу', 'воспроизвести', 'ту', 'музыку', 'снова']"
24,ru-RU,train,проверь готов ли мой автомобиль,"['проверь', 'готов', 'ли', 'мой', 'автомобиль']"
25,ru-RU,train,проверь работает ли ноутбук,"['проверь', 'работает', 'ли', 'ноутбук']"
26,ru-RU,train,яркость моего экрана снижается,"['яркость', 'моего', 'экрана', 'снижается']"
27,ru-RU,train,мне нужно включить сервисы определения местоположения можешь проверить,"['мне', 'нужно', 'включить', 'сервисы', 'определения', 'местоположения', 'можешь', 'проверить']"
28,ru-RU,train,проверь статус моего потребления энергии,"['проверь', 'статус', 'моего', 'потребления', 'энергии']"
29,ru-RU,train,я не устал я действительно счастлив,"['я', 'не', 'устал', 'я', 'действительно', 'счастлив']"
30,ru-RU,train,олли я не устал я на самом деле счастлив,"['олли', 'я', 'не', 'устал', 'я', 'на', 'самом', 'деле', 'счастлив']"
31,ru-RU,train,как дела,"['как', 'дела']"
32,ru-RU,train,скажи мне время в москве,"['скажи', 'мне', 'время', 'в', 'москве']"
33,ru-RU,train,скажи мне какое среднее время по гринвичу плюс пять,"['скажи', 'мне', 'какое', 'среднее', 'время', 'по', 'гринвичу', 'плюс', 'пять']"
34,ru-RU,train,olly назови самые популярные сервисы доставки китайской еды,"['olly', 'назови', 'самые', 'популярные', 'сервисы', 'доставки', 'китайской', 'еды']"
35,ru-RU,train,самые популярные варианты доставки китайской еды,"['самые', 'популярные', 'варианты', 'доставки', 'китайской', 'еды']"
36,ru-RU,train,алиса доставка китайской еды с самым высоким рейтингом,"['алиса', 'доставка', 'китайской', 'еды', 'с', 'самым', 'высоким', 'рейтингом']"
