,locale,partition,utt,tokens
0,sl-SL,train,zbudi me ob devetih zjutraj v petek,"['zbudi', 'me', 'ob', 'devetih', 'zjutraj', 'v', 'petek']"
1,sl-SL,train,nastavi alarm dve uri od zdaj,"['nastavi', 'alarm', 'dve', 'uri', 'od', 'zdaj']"
2,sl-SL,train,siri tišina,"['siri', 'tišina']"
3,sl-SL,train,stop,['stop']
4,sl-SL,train,siri pavza za deset sekund,"['siri', 'pavza', 'za', 'deset', 'sekund']"
5,sl-SL,train,pavziraj za deset sekund,"['pavziraj', 'za', 'deset', 'sekund']"
6,sl-SL,train,naredi svetlobo tukaj notri malo bolj toplo,"['naredi', 'svetlobo', 'tukaj', 'notri', 'malo', 'bolj', 'toplo']"
7,sl-SL,train,prosim nastavi osvetlitev primerno za branje,"['prosim', 'nastavi', 'osvetlitev', 'primerno', 'za', 'branje']"
8,sl-SL,train,čas za spanje,"['čas', 'za', 'spanje']"
9,sl-SL,train,olly čas je za spanje,"['olly', 'čas', 'je', 'za', 'spanje']"
10,sl-SL,train,ugasni luč v kopalnici,"['ugasni', 'luč', 'v', 'kopalnici']"
11,sl-SL,train,zamegli luči na hodniku,"['zamegli', 'luči', 'na', 'hodniku']"
12,sl-SL,train,ugasni luči v spalnici,"['ugasni', 'luči', 'v', 'spalnici']"
13,sl-SL,train,nastavi luči na dvajset procentov,"['nastavi', 'luči', 'na', 'dvajset', 'procentov']"
14,sl-SL,train,nastavi luči na dvajset odstotkov,"['nastavi', 'luči', 'na', 'dvajset', 'odstotkov']"
15,sl-SL,train,zatemni luči v kuhinji peter,"['zatemni', 'luči', 'v', 'kuhinji', 'peter']"
16,sl-SL,train,zatemni luči v kuhinji,"['zatemni', 'luči', 'v', 'kuhinji']"
17,sl-SL,train,očisti stanovanje,"['očisti', 'stanovanje']"
18,sl-SL,train,posesaj hišo,"['posesaj', 'hišo']"
19,sl-SL,train,sesaj hišo siri,"['sesaj', 'hišo', 'siri']"
20,sl-SL,train,posesaj preproge,"['posesaj', 'preproge']"
21,sl-SL,train,preveri kdaj se začne predstava,"['preveri', 'kdaj', 'se', 'začne', 'predstava']"
22,sl-SL,train,želim ponovno poslušati pesem od arijit singh,"['želim', 'ponovno', 'poslušati', 'pesem', 'od', 'arijit', 'singh']"
23,sl-SL,train,želim spet predvajati to glasbo,"['želim', 'spet', 'predvajati', 'to', 'glasbo']"
24,sl-SL,train,preveri če je avto pripravljen,"['preveri', 'če', 'je', 'avto', 'pripravljen']"
