,locale,partition,utt,tokens
0,tr-TR,train,beni cuma günü sabah dokuzda uyandır,"['beni', 'cuma', 'günü', 'sabah', 'dokuzda', 'uyandır']"
1,tr-TR,train,iki saat sonrasına alarm kur,"['iki', 'saat', 'sonrasına', 'alarm', 'kur']"
2,tr-TR,train,olly sessiz ol,"['olly', 'sessiz', 'ol']"
3,tr-TR,train,dur,['dur']
4,tr-TR,train,olly on saniye duraklat,"['olly', 'on', 'saniye', 'duraklat']"
5,tr-TR,train,on saniye duraklat,"['on', 'saniye', 'duraklat']"
6,tr-TR,train,burada ışıklandırmayı az daha sıcak yap,"['burada', 'ışıklandırmayı', 'az', 'daha', 'sıcak', 'yap']"
7,tr-TR,train,lütfen aydınlatmayı okumaya uygun ayarla,"['lütfen', 'aydınlatmayı', 'okumaya', 'uygun', 'ayarla']"
8,tr-TR,train,yatma vakti,"['yatma', 'vakti']"
9,tr-TR,train,uyku zamanı olly,"['uyku', 'zamanı', 'olly']"
10,tr-TR,train,banyodaki ışığı kapat,"['banyodaki', 'ışığı', 'kapat']"
11,tr-TR,train,olly holdeki ışığı kıs,"['olly', 'holdeki', 'ışığı', 'kıs']"
12,tr-TR,train,yatak odasındaki ışıkları kapat,"['yatak', 'odasındaki', 'ışıkları', 'kapat']"
13,tr-TR,train,ışıkları yüzde yirmi aç,"['ışıkları', 'yüzde', 'yirmi', 'aç']"
14,tr-TR,train,olly ışıkları yüzde yirmiye ayarla,"['olly', 'ışıkları', 'yüzde', 'yirmiye', 'ayarla']"
15,tr-TR,train,olly mutfaktaki ışıkları kıs,"['olly', 'mutfaktaki', 'ışıkları', 'kıs']"
16,tr-TR,train,mutfaktaki ışıkları kıs,"['mutfaktaki', 'ışıkları', 'kıs']"
17,tr-TR,train,olly daireyi temizle,"['olly', 'daireyi', 'temizle']"
18,tr-TR,train,evi süpür,"['evi', 'süpür']"
19,tr-TR,train,olly evi süpür,"['olly', 'evi', 'süpür']"
20,tr-TR,train,halılar ı iyice süpür,"['halılar', 'ı', 'iyice', 'süpür']"
21,tr-TR,train,kar ne zaman başlayacak bir kontrol et,"['kar', 'ne', 'zaman', 'başlayacak', 'bir', 'kontrol', 'et']"
22,tr-TR,train,yine yeniden tarkan şarkısı dinlemek istiyorum,"['yine', 'yeniden', 'tarkan', 'şarkısı', 'dinlemek', 'istiyorum']"
23,tr-TR,train,o müziği bir kez daha çalmak istiyorum,"['o', 'müziği', 'bir', 'kez', 'daha', 'çalmak', 'istiyorum']"
24,tr-TR,train,arabamın hazır olup olmadığını kontrol et,"['arabamın', 'hazır', 'olup', 'olmadığını', 'kontrol', 'et']"
25,tr-TR,train,laptopumun çalışıp çalışmadığını kontrol et,"['laptopumun', 'çalışıp', 'çalışmadığını', 'kontrol', 'et']"
26,tr-TR,train,benim ekran parlaklığım az mı çalışıyor,"['benim', 'ekran', 'parlaklığım', 'az', 'mı', 'çalışıyor']"
27,tr-TR,train,konum servisinin açık olmasına ihtiyacım var kontrol edebilir misin,"['konum', 'servisinin', 'açık', 'olmasına', 'ihtiyacım', 'var', 'kontrol', 'edebilir', 'misin']"
28,tr-TR,train,güç kullanımı durumumu kontrol et,"['güç', 'kullanımı', 'durumumu', 'kontrol', 'et']"
29,tr-TR,train,yorgun değilim mutluyum aslında,"['yorgun', 'değilim', 'mutluyum', 'aslında']"
30,tr-TR,train,olly aslında mutluyum yorgun değilim,"['olly', 'aslında', 'mutluyum', 'yorgun', 'değilim']"
31,tr-TR,train,naber,['naber']
32,tr-TR,train,bana moskova'da saatin kaç olduğunu söyle,"['bana', ""moskova'da"", 'saatin', 'kaç', 'olduğunu', 'söyle']"
33,tr-TR,train,bana greenwich yerel saati artı beşteki saati söyle,"['bana', 'greenwich', 'yerel', 'saati', 'artı', 'beşteki', 'saati', 'söyle']"
34,tr-TR,train,olly çin yemeği için en yüksek yıldızlı teslimat opsiyonlarını listele,"['olly', 'çin', 'yemeği', 'için', 'en', 'yüksek', 'yıldızlı', 'teslimat', 'opsiyonlarını', 'listele']"
35,tr-TR,train,çin yemeği için en yüksek yıldızlı adrese teslimat opsiyonlar,"['çin', 'yemeği', 'için', 'en', 'yüksek', 'yıldızlı', 'adrese', 'teslimat', 'opsiyonlar']"
